Network,Tag
1.1.8.0/24,CN
1.180.0.0/14,CN
1.192.0.0/13,CN
1.204.0.0/14,CN
1.48.0.0/15,CN
1.50.0.0/16,CN
1.68.0.0/14,CN
1.71.134.0/23,CN
1.80.0.0/13,CN
1.92.0.0/20,CN
101.110.116.0/24,CN
101.110.117.0/24,CN
101.124.160.0/19,CN
101.236.0.0/21,CN
101.248.0.0/15,CN
101.248.0.0/16,CN
101.251.200.0/22,CN
101.254.0.0/19,CN
103.218.216.0/22,CN
103.219.28.0/22,CN
103.219.32.0/22,CN
103.219.36.0/22,CN
103.224.220.0/22,CN
103.31.144.0/20,CN
103.37.136.0/21,CN
103.37.144.0/21,CN
103.37.152.0/21,CN
103.37.160.0/21,CN
103.42.8.0/22,CN
103.8.144.0/20,CN
103.8.32.0/24,CN
106.0.4.0/22,CN
106.101.0.0/16,CN
106.108.0.0/15,CN
106.110.0.0/15,CN
106.112.0.0/14,CN
106.112.0.0/16,CN
106.113.0.0/16,CN
106.114.0.0/16,CN
106.115.0.0/16,CN
106.116.0.0/15,CN
106.116.0.0/16,CN
106.117.0.0/16,CN
106.118.0.0/16,CN
106.119.0.0/16,CN
106.122.0.0/16,CN
106.123.0.0/16,CN
106.124.0.0/16,CN
106.125.0.0/16,CN
106.126.0.0/16,CN
106.127.0.0/16,CN
106.16.0.0/15,CN
106.18.0.0/15,CN
106.224.0.0/14,CN
106.228.0.0/16,CN
106.229.0.0/16,CN
106.230.0.0/16,CN
106.32.0.0/16,CN
106.33.0.0/16,CN
106.34.0.0/16,CN
106.35.0.0/16,CN
106.36.0.0/16,CN
106.37.0.0/16,CN
106.38.0.0/16,CN
106.39.0.0/16,CN
106.4.0.0/15,CN
106.40.0.0/16,CN
106.41.0.0/16,CN
106.42.0.0/16,CN
106.43.0.0/16,CN
106.44.0.0/16,CN
106.45.0.0/16,CN
106.46.0.0/16,CN
106.47.0.0/16,CN
106.56.0.0/15,CN
106.58.0.0/15,CN
106.6.0.0/16,CN
106.60.0.0/15,CN
106.62.0.0/16,CN
106.7.0.0/16,CN
106.8.0.0/16,CN
106.80.0.0/15,CN
106.82.0.0/15,CN
106.84.0.0/15,CN
106.86.0.0/15,CN
106.88.0.0/15,CN
106.9.0.0/16,CN
106.90.0.0/15,CN
106.92.0.0/16,CN
110.152.0.0/14,CN
110.156.0.0/15,CN
110.166.0.0/15,CN
110.176.0.0/13,CN
110.184.0.0/13,CN
110.80.0.0/13,CN
110.88.0.0/14,CN
110.94.0.0/15,CN
111.112.0.0/15,CN
111.120.0.0/14,CN
111.124.0.0/16,CN
111.126.0.0/15,CN
111.170.0.0/16,CN
111.172.0.0/14,CN
111.176.0.0/13,CN
111.224.0.0/14,CN
111.72.0.0/13,CN
112.100.0.0/14,CN
112.112.0.0/14,CN
112.112.162.0/24,CN
112.116.0.0/15,CN
112.66.0.0/15,CN
112.98.0.0/15,CN
113.112.0.0/13,CN
113.12.0.0/14,CN
113.12.0.0/19,CN
113.120.0.0/13,CN
113.128.0.0/15,CN
113.132.0.0/14,CN
113.136.0.0/13,CN
113.16.0.0/15,CN
113.214.0.0/15,CN
113.218.0.0/15,CN
113.220.0.0/14,CN
113.24.0.0/14,CN
113.24.208.0/22,CN
113.24.212.0/22,CN
113.240.0.0/13,CN
113.248.0.0/14,CN
113.31.128.0/21,CN
113.59.224.0/22,CN
113.62.0.0/15,CN
113.64.0.0/11,CN
113.96.0.0/12,CN
114.104.0.0/14,CN
114.112.225.0/24,CN
114.113.250.0/24,CN
114.114.112.0/21,CN
114.118.0.0/20,CN
114.118.16.0/21,CN
114.118.24.0/21,CN
114.119.0.0/18,CN
114.135.0.0/16,CN
114.138.0.0/15,CN
114.216.0.0/13,CN
114.224.0.0/12,CN
114.96.0.0/13,CN
115.148.0.0/14,CN
115.152.0.0/15,CN
115.168.0.0/14,CN
115.168.0.0/17,CN
115.168.0.0/18,CN
115.168.32.0/19,CN
115.168.64.0/19,CN
115.169.0.0/16,CN
115.169.21.0/24,CN
115.170.0.0/16,CN
115.192.0.0/11,CN
115.224.0.0/12,CN
116.1.0.0/16,CN
116.16.0.0/12,CN
116.198.11.0/24,CN
116.207.0.0/16,CN
116.208.0.0/14,CN
116.248.0.0/15,CN
116.252.0.0/15,CN
116.4.0.0/14,CN
116.52.0.0/14,CN
116.69.0.0/16,CN
116.8.0.0/14,CN
117.114.255.0/24,CN
117.21.0.0/16,CN
117.22.0.0/15,CN
117.24.0.0/13,CN
117.32.0.0/13,CN
117.40.0.0/14,CN
117.44.0.0/15,CN
117.57.0.0/16,CN
117.60.0.0/14,CN
117.64.0.0/13,CN
117.72.248.0/22,CN
117.79.80.0/20,CN
117.80.0.0/12,CN
117.80.0.0/13,CN
118.112.0.0/13,CN
118.120.0.0/14,CN
118.124.0.0/15,CN
118.180.0.0/14,CN
118.184.128.0/17,CN
118.186.0.0/15,CN
118.192.0.0/16,CN
118.213.0.0/16,CN
118.215.192.0/19,CN
118.239.0.0/16,CN
118.248.0.0/13,CN
118.67.112.0/20,CN
118.84.0.0/15,CN
